English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
It is Gavaskar and Australia's former skipper Allan Border after whom the India-Australia Test series is named. i.e.,?? ????? ??????? ?? ??????????? ?? ????? ?????? ??? ?????? ?? ??? ?? ???? ?? ??? ????? ????? ??.,18,19,1
Oil to cook,???? ????? ?? ??? ???,,5,5
SBI waives IMPS charges,?????? ?? ???? ???? ???????? ?????,,6,6
"If some such legislation, as is proposed in Bombay, had been in existence, it would have been far more difficult to reduce wages and labour would have been in a much better position to bargain on equal terms with the employers, with probably a friendly public opinion to back it.","??? ??? ??? ????? ????, ???? ?? ???? ????? ????? ?? ??? ??? ??, ?? ?????? ??? ????? ???? ???? ???? ???? ???????? ?? ?????? ??????? ?? ??? ?????? ?? ????? ?? ??? ???? ?? ?????? ??? ???? ?? ???? ???? ?? ??? ?? ??? ?? ?? ??? ????.",50,49,1
"""The government had not released any amount so far.",??? ?? ???? ?? ????? ?? ???? ?????? ?? ?????? ??? ???? ?????,9,13,4
While 0 - 200km/h comes in at 9.3 seconds. again just 0.3 seconds slower,?? ??? ????? 9.3 ????? ??? 0 - 200 ????/???? ?? ??? ??????? ?? ???? ?? ??? ?? ???? ?? 0.3 ????? ?? ???,14,24,10
US ambassador to the United Nations Nikki Haley,?????? ???? ??????? ??????? ??? ??????? ?????? ??? ?? ???? ?? ?????? ?? ???,8,14,6
Go from here.,?? ??? ???? ???,,,0
This is not Indian culture.,??? ?? ???? ?? ?????? ????????,5,6,1
"""Therefore, is it realistic to believe that, on their own, humans can develop an impartial society?","?????, ???? ?? ???????? ???? ?????????? ?? ??, ???? ?????? ??, ?????? ?? ???????? ???? ?????? ?? ???? ???",16,19,3
Donglong always belonged to China and always under Chinas effective jurisdiction.,???????? ????? ??? ?? ?? ???? ??????? ????????????? ??? ??? ???,11,11,0
Haryana: Class 12 student allegedly shoots school principal dead with fathers gun,??????? ??? ?? 12??? ?? ?????? ????? ?????? ????? ?? ????????? ?? ????? ???? ?? ???????? ????? ????? . ???,12,20,8
"""The current border crisis between India and China is not new.",???? ?? ??? ?? ??? ???? ?? ?????? ??? ??? ???? ???,11,12,1
But is doesn't stop there.,??????? ?? ????? ???? ???? ???? ????,5,7,2
US Elections 2020: Joe Biden set to become the oldest President of America,US Elections 2020: ??????? ?? ?????? ???????? ?? ????? ???? ?????????? ?? ?? ?????: ?????,13,15,2
"""The Central government recently did away with the special status awarded to Jammu and Kashmir by abrogating certain provisions of Article 370 of the Indian constitution and bifurcating the State into two Union Territories Jammu and Kashmir and Ladakh.",?????? ?? ?? ???? ????? ?? ??????? ?? ???????? 370 ?? ??? ?????-?????? ?? ????? ????? ?? ????? ???? ???? ?????????? ?? ????? ??? ????????? ????? ?? ?? ?????? ????? ?????? ??? ??????? ?? ???? ???,39,36,3
"""He helped his parents to a couch and they all fell down on their knees before him. He said, """"My father, this is the interpretation of my dream. My Lord has made it come true! He was kind to me when He let me out of prison and brought you from the desert after Satan had brought about discord between me and my brethren. My Lord is the best planner in achieving what He will. He is All Knowing, and Truly Wise.""""""",(???) ??????? ????? ?? ???? ??? ??? ?? ???? ?? ?????? ?? ?? ?? ?? ????? ?? ????? ?? ?????? ???? ????? ???? ??? ??? ??? (?? ????) ????? ?? ??? ? ????? ?? ????? ?? ???? ?? ???? ????? ?? ?? ???? ????????? ?? ??? ?? ?? ?????? ???? ???? ???? ??? ????? ???? ?? ???? ???? ??? ???? ?? ?????? ?? ?????? ?? ??? ??? ?? ???? ?????? ??? ????? ?? ???? ??? ???? ?? ???? ??? ?? ?? ????? ?? ???? ?? (??? ???) ?? ??? (?? ????? ???? ????) ???? ???? ????????? ?? ??? ???? ?? ???? ?????? ??? ????? ?? ???? ?? ??? ???????? ???? ??,,,0
"Grant assistance is provided to the extent of Rs. 45, 000 per house for normal areas and Rs. 48, 500 for hilly areas. Funds are released to the DRDAs in two installments.","??????? ?????? ??? ????? ?? 45,000/- ???? ?? ?? ??? ?????? ?????? ?? ??? 48,500/- ???? ?? ?????? ?????? ?????? ?? ???? ???",32,23,9
We were not aware of how it came and where it went.,???? ??? ?? ???? ??? ?? ??? ??? ?? ??? ??? ???.,12,12,0
Tej Pratap has rushed to Ranchi to meet his father Lalu Yadav in hospital.,??????? ???? ???? ???? ??? ????????? ?? ????? ?? ??? ???? ???? ?????? ???? ?? ????? ??????? ?????? ? ?????? ???...,14,21,7
20 people have died in the incident.,????? ???? 20 ????? ?? ??? ?? ???,7,8,1
"UP Chief Minister Yogi Adityanath will also be present on the occasion, it said.",?? ???? ?? ???? ??? ???? ?? ??????????? ???? ????????? ?? ???????,14,12,2
"""The locals of the area and police rushed to the spot after coming to know about the mishap.",????? ?? ????? ????? ?? ??????? ??? ?? ????? ???? ?? ????? ?? ???,18,14,4
"""He left our country,"""" he added.""",???? ????? ??? ???? ?????,6,5,1
"We are an inclusive democracy, and an inclusive economy.",?? ?? ??????? ???????? ??? ?? ??????? ???????????? ???.,9,9,0
A heavy police posse was deployed at the spot to avoid any untoward incident.,???? ?? ???? ?????? ???? ?? ?????? ?? ??? ???? ????? ?? ????? ???? ??? ???,14,16,2
Farmers of Punjab and Haryana are going on a peaceful strike at the Singhu and Tikari borders of Delhi.,????? ?? ??????? ?? ??????? ?????? ?????? ?? ????? ?? ????? ?????? ?? ?????????? ???? ???? ????,19,17,2
It affected the daily life of the people.,???? ??????? ?????? ???????? ??? ???,8,6,2
This makes it malicious.,??? ???? ?? ????? ???? ???,,6,6
He was in the Congress then.,??? ???????? ??? ??? ??.,6,5,1
covid panic,????? ???????,,,0
"I offer my obeisance at the feet of Bharat Ratna Mahamanaji for the seed he had sown 100 years back has now turned into such a huge tree of knowledge, science and inspiration.","??? ???? ????? ?????? ?? ?? ????? ??? ???? ???? ??? ?? 100 ???? ????? ??? ??? ????????? ???? ?? ?? ?? ???? ??? ?????, ????? ??, ??????? ??, ??????? ?? ?? ????? ?? ????",33,35,2
I said alright.,???? ??? ??? ???,,,0
"Moreover, to give effect to the observations made in the Mahipal Singh Rana judgment (supra), the responses have unanimously agreed with the observation of the Supreme Court thereby necessitating amendment in section 24A of the Advocates Act to provide for post-enrolment disqualification.","???? ????????, ?????? ???? ???? (???????) ???? ????? ?? ?????? ??? ?? ?? ??????????????? ?? ??????? ???? ?? ???, ??????? ??? ?????? ???????? ?? ???????????? ?? ????? ?????????? ?? ????? ???? ???? ?? ???????? ??????? ?? ???? 24-? ??? ???????-???? ???????? ?? ????? ???? ??? ?????? ???? ?? ???????? ?? ?",,,0
"Earlier this year, the government had infused capital through non-cumulative perpetual debt instruments in three banks Central Bank of India, UCO Bank and Vijaya Bank","' ??? ??? ????? ?? ???-????? ????????? ?? ??????? ?? ???? ??? ??????- ??????? ???? ?? ??????, ???? ???? ?? ????? ???? ??? ????? ???????? ?? ???",25,27,2
"After the incident at the Periyar hostel, the main gate of JNU varsity was closed and entry was not allowed.","??????? ?????? ?? ???? ?? ???, JNU ????? ????? ??? ?? ???? ??? ?? ???? ?? ?? ???-???? ?? ????? ???? ???",20,22,2
This is called 'drug interactions'.,????? ?? ‘???? ?????? ??????’ ???? ????,5,7,2
"Further, National Skill Development Council, the Sector Skill Councils and Training Providers have been asked to contribute through CSR funds","???? ?????, ????????? ???? ????? ?????, ??????? ?????? ???? ??????? ?? ????????? ????????? ?? ?????? ??????? ?? ?????? ?? ?????? ???? ?? ??? ??? ??? ??",20,26,6
"However, it often goes undiagnosed until autopsy. therefore patients might wisely choose to take steps to provide a physician with important clues, such as recording whether blood pressure changes significantly during episodes of apparent anxiety.",??????? ??-??????? ???? ?? ???? ??? ???? ???? ??. ????? ???? ?????????? ?? ???????? ?? ?????????? ????? ?????? ???? ?? ?????? ??? ???? ?? ???? ?????? ????? ?? ?????? ?? ????? ???? ??? ??? ???? ???? ?????????? ??????? ?? ??????? ?????,35,41,6
"For the BJP, the win in Karnataka was crucial for several reasons.",?? ?????? ?? ??????? ????? ???????? ?????? ?? ??? ??????????? ???,12,11,1
"At this occasion, school Principal Dr",?? ???? ?? ????? ?? ????????? ??.,6,7,1
"""The two accidents, one in Indonesia and the other in Ethiopia, killed 346 people.",?????????? ?? ????????? ??? ??? ?? ???? ????? ?????????? ??? 346 ??? ???? ?? ???,14,15,1
When will the second ODI between India and Australia be played?,????? ??? ?? ???? ???? ????? ???? ??? ?,11,9,2
"On August 15, 1947, India got freedom and he became the first leader of the country.",14 ????\\u200d? 1947 ?? ???\\u200d? ?????? ?? ???? ???? ???,16,10,6
This is not a dispute between the Hindus and Muslims.,"?????, ????? ??????? ?? ????????? ?? ??? ???? ???",10,9,1
"Iceland's interest rate is now 18%, with GDP expected to fall 9.6% this year.","??????? ?? ????? ?? ?? 18% ??, ?? ??? ?????? 9.6% ????? ?? ??????? ???",14,15,1
"Besides, some roses have also been named after international personalities such as Britains Queen Elizabeth, former US President John F.","???? ????? ?? ??? ?????? ??? ???? ??? ??????? ?? ??? ????? ???????? ????????? ???? ??????? ?? ????????? ????????, ??????? ?? ????? ?????????? ??? ?? ?????? ? ????? ???????????? ??? ?????? ???????? ??? ?? ????? ?? ??? ??? ????",20,39,19
Shri Mukherjee stated that in the past few weeks we have taken measures to address inflation concerns.,????????? ??? ?? ?????? ?? ????????? ???? ?? ??? ????? ??? ?????? ??? ???? ?? ??? ???? ????,17,18,1
"What, and our forefathers, the ancients'","""???? ?? ????? ???? ?? ???-???? ??? """"""",6,8,2
"if any share, security or other property is purchased by or on behalf of the trust or institution from any person referred to in sub-section (3) during the previous year for consideration which is more than adequate.","(?) ??? ?????? (3) ??? ????????? ???? ??????? ?? ????? ????, ????????? ?? ???? ????????, ???????? ?? ???? ??????? ?? ??? ????? ?? ?????? ?????? ?? ???? ?? ?? ????????? ?? ????? ????? ???? ??.",37,35,2
This was lower than the price of US$ 107.83 per bbl on previous publishing day of 19.05.2014.,????? ???????? ???? 19.05.2014 ?? ?? ???? 107.83 ?????? ???? ????? ???? ???,17,13,4
Mouni Roy will be seen playing Raj Kummar Raos character's wife Rukmini.,???? ??? ??????? ??? ?? ????? ?? ?????? ???? ??? ??.,12,11,1
"True, sins law wars against the law of the mind.",?? ?? ?? ?? “??? ?? ???????? ” ?? ?? ???????? ?? ??????? ????? ?? ?,10,16,6
That too is far from truth.,?? ?? ?????? ?? ??? ???,6,6,0
That's it.,?????? ??? ???,,,0
"Ram Vilas Paswan's brother Pashupati Kumar Paras, Chirags cousin and member of Parliament Prince Raj and other members of the Paswan family were also present.",???? ??? ??????? ?? ????? ?? ??? ????? ?????? ?? ??? ?????? ????? ???? ?? ????? ???,25,17,8
"She was also with Chahal in United Arab Emirates (UAE), during his Indian Premier League (IPL) 2020 stint with Royal Challengers Bangalore (RCB)",????????????? ?????? ?????? 2020 ??? ???? ????????? ??????? (RCB) ?? ??? ??????? ?? ???,23,14,9
She had undergone treatment for the disease in the US as well.,???? ??????? ??? ?? ???? ??? ???,12,7,5
He has earned two gold and four silver medals in national competitions.,?????? ????? ????? ??? ???????? ?? ????? ?? ?? ?????? ???? ?????,12,12,0
Producer Karan Johar will produce the movie.,"???????, ?????? ???? ?????? ?? ?????? ?? ??? ???? ?????? ????????? ?? ??? ????",7,14,7
"""There are two main groups in the fray.",?? ????? ??? ?? ?????? ??? ???.,8,7,1
"He writes, for example, in regard to the 'latter two classes' Vaisya and Sudra that much as they differed from each other 'they live together in the same towns and villages, mixed together in the same houses and lodgings.","?????? ?? ??? ‘??? ?? ?? ???????’ ????? ?? ????? ?? ????? ??? ???? ???? ?? ?? ?????? ????? ??? ??? ???? ???? ????? ??? ??? ?? “?? ?? ?? ???? ?? ????? ??? ??? ??? ???? ???, ?? ?? ???? ??? ??? ??? ?????? ?? ???? ????",39,48,9
People are in shock.,????? ?? ??? ??? ???,,5,5
"If someone enquired about his religious faith, he would say, I am an agnostic.",??? ??? ???? ???? ??????? ??????? ?? ???? ??? ????? ?? ?? ????-- ??? ??????????? ????,14,16,2
"For the past few weeks, its passengers have been venting their ire on social media as its flight cancellations have increased gradually due to rising number of planes getting grounded.",????? ??? ?????? ?? ??????? ?? ??????? ???? ???? ?? ?????? ???? ??????? ???? ?????? ?? ????? ?? ??? ????,30,20,10
India still searching for that first wicket.,???? ?? ??????? ????? ?? ???? ???,7,7,0
"Once seen as a pro-Indian Kashmiri, Negroo, succumbed to the lust for money and finally became one of the largest 'exporter' of arms, narcotics and terrorists into the Indian territory.","?? ??? ???? ?????? ??????? ??? ?????? ???? ?? ???? ??? ??? ??? ?? ????????, ????? ???????? ?? ??????????? ?? ???? ??? ????? ???? ?? ???? ???? ????? ?? ??? ???",30,31,1
"""The Scheme will have to be executed as per the approved outlays in the State Plan and should be completed by 2013-14 i.e. by 31st March 2014.","?????? ????? ??? ???????? ???????? ?? ??????? ?? ???????? ?? 2013-14 ???? 31 ?????, 2014 ?? ???? ?? ???? ???? ???",27,21,6
"""They will groan in pain therein, but no one will listen to them.",???? ??? ???? ??? ??? ???? ?? ?? ???? ??? ?? ???? ??? ??????,13,14,1
"""The family asked permission to pray first.",?????? ?? ???? ????????? ???? ?? ?????? ????? ?,7,9,2
"""The Greek historian Xenophon, who lived in the fourth century B.C.E., wrote down the comments of a poor man who had become rich:",??????? ??? ????? ???? ??? ??? ???????? ?????? ????????? ??????? ?? ?? ???? ???????? ?? ?????????? ????? ?? ??? ?? ??? ??:,23,22,1
"""""""Everybody has their thoughts and freedom of opinion""",???? ?? ???? ?? ???? ??? ???? ?? ?? ????? ?? ????? ??,8,13,5
"""The Indian society is changing at a fast pace",???????? ??? ?? ???? ??? ????? ?? ??? ?? ???? ??? ??,9,12,3
A monastery on the left.,???? ?? ?? ??? ?? ?? ????? ??? ?? ???,5,10,5
"""The river witnessed a surge in water level due to heavy rains this weekend.",?? ????? ??? ????? ????? ???????? ????? ?? ???? ?????? ??? ?????? ????? ?? ???? ? ?? ???,14,18,4
"Time's up, Bogs?","??? ?????? ???, ?????.",,,0
And also not.,?? ??? ?????.,,,0
"""The family members of the patient ransacked the hospital in a fit of rage.",????? ?? ?????? ????? ?? ??????? ??? ???? ?????? ?????,14,10,4
"""They are sodium-free, cholesterol-free, fat-free and contain 190 mg of potassium.","?????? ?????? ????, ??????????? ????, ?? ??? ???? ???? ?? ?? ????? 190 ????????? ???????? ???? ?? ?? ?? ???? ?? ????? ???? ??.",11,24,13
"""They should be ostracised.",???? ???????? ???? ???? ??????,,5,5
"""The film is slated to release on December 11 this year.",?? ????? ?? 6 ??????? ?? ?????? ???? ??????,11,9,2
"It is no sin for you that you seek the bounty of your Lord. so when you return from Arafat, remember Allah near the Sacred Symbol (Mashar al Haram) and remember Him in the manner He has guided you. and indeed, before this, you were of the astray.",?? ??? ??? ??????? ???? ?? ?? (?? ?? ???) ??? ???? ????????? ?? ???? (???? ??????) ?? ??????? ??? ?? ??? ?? ??? ????? ?? ?? ???? ?? ?? ?????? ???? ?? ??? ????? ?? ????? ??? ?? ?? ?? ??? ?? ??? ?? ??? ??? ?????? ????? ?? ????? ??? ???? ???? ?? ??????? ?? ??,,,0
You'd totally be surprised.,???? ??? ???? ?? ????? ?? ?? ???? ??? ???,,10,10
"""The function was presided over by Anil Kumar Jain, chief commissioner, Central Goods and Services Tax Zone, Chandigarh and Haryana zone.",?????? ?? ????????? ??????? ?? ??????? ??????? ?? ????? ?????? ???????? ??? ?? ???? ?? ??????? ???? ????? ??? ?? ???,21,21,0
Congress general secretary Digvijaya Singh.,?????? ?????????? ?????? ???????? ??????? ???????? ???? ??????,5,8,3
Extension root directory is invalid.,??????? ??? ?????????? ?????? ??.,5,5,0
"For a detailed discussion see the keynote paper presented by Dr. Subhash C. Kashyap on Recfuitment and Training of Parliamentary Staff at the meeting of Society of Clerks - at - the - Table in Commonwealth Parliaments at Saskatoon, Canada, in October 1985.","??????? ????? ?? ??? ????? ??????????? ?????? ?? ?????????-??-?-???? ?? ??????? ?? ???????, 1985 ??? ???????, ????? ??? ??? ???? ??? ??????????? ??? ???????? ?? ?????????????? ????? ???? ?? ??. ????? ?????? ?????? ???????? ???? ??? ????? ?????",43,38,5
Post-traumatic growth is defined as the positive psychological change that can occur in a person after they've experienced a traumatic life event.,????? ????????? ?????? ???? ?????? ??? ?? ????????? ???????????? ???????? ?? ?? ?? ??????? ???? ???? ?? ????? ?? ??? ???? ???,22,22,0
National Assembly Chairperson Ganesh Timilsina said that 57 members voted for the bill.,????? ???????? ?? ?????? ???? ????????? ?? ????? ?? ??? 57 ??????? ?? ?????? ?? ?????? ??? ????? ?????,13,19,6
"Harwinder Kaur, a class XII student of Government Girls Senior Secondary School, Jawahar Nagar, is a handball player.",??????? ????? ???????? ?????? ????? ????? ??? ????? ????? ?? ????? ???,18,12,6
Nobel Peace Prize laureate Malala Yousafzai also congratulated Nawaz.,????? ?? ????? ???????? ????? ????? ????? ??????? ?? ?? ?? ???????? ???? ?? ???? ???,9,16,7
"""The President of India, Shri Ram Nath Kovind, graced and addressed the tenth foundation day of the Institute of Liver and Biliary Sciences (ILBS) and the seventh convocation ceremony in New Delhi today (January 15, 2020).","?????????? ???? ?????? ??????? ?? ?? (15 ?????, 2020) ?? ?????? ??? ???? ?? ????? ??????? ??????? (????????) ?? 10??? ??????? ???? ?? 7??? ???????? ?????? ?? ???? ????? ?? ??? ??????? ?????",36,33,3
Say you are a 30 year old healthy individual and you buy a term policy like Jeevan Anand and pay Rs 9000 annually.,?????? ?? ???: ??? ?? 30 ??? ?? ??? ?? ???? ???? ?????? ???? ??? ?? ?? ??? 9000 ???? ?? ?????? ???? ????,23,24,1
"A western disturbance is the name given to an extra-tropical storm in the Mediterranean Sea under whose influence rain and snowfall occurs in India, Pakistan, Bangladesh and Nepal.","?????????? ??? ???????? ???????????? ????? ?? '??????? ???????' ??? ???? ??? ??, ????? ???? ????, ????? ?? ?????????? ??? ????? ???? ???",28,22,6
Some are mill workers and some are farmers.,??? ?????? ????? ?? ?? ??? ?????.,8,7,1
"Please see the series Understanding Difficult Children in the November 22, 1994, issue of Awake!",????? ??? ????!,,,0
You know her.,?? ?? ?????? ?????? ????,,5,5
High heels are commonly worn.,???? ???? ?? ?????? ?? ??? ?? ???? ???? ????,5,10,5
"While the state government would bear the entire cost of tour of senior citizens belonging to BPL families, 70 per cent of the total cost of the tour would be borne in case of non-BPL families.",???????? ????? ??? ?????? ?????? ?? ??????? ???? ???? ?????? ???????? ?? ????? ?? ???? ???? ?? ???-?????? ???????? ?? ?????? ???????? ?? 70 ??????? ???? ?????? ????? ?? ?? ?? ??? ???? ??????,36,34,2
"""The counting will take place on 23 May.",?????? 23 ?? ?? ????.,8,5,3
"Earlier, Shah Rukh Khan had made a special video for his fans and had urged them to vote in the Lok Sabha Elections .","???? ????, ????????? ?????? ??? ?? ???? ????????? ?? ??? ?? ????? ?????? ????? ???? ??? ???? ?? ????? ???? ???",24,21,3
Sieve tube serve to conduct nutrient.,???? ????? ???? ???? ???,6,5,1
"""The total population of Pakistan in 2007 is 16, 93, 000 (approximately 20 crore). As a result of this large human population the position of Pakistan has increased, this means that Pakistan is less than Brazil and greater than Russia.","????? 2007 ?? ??????? ?? ?????? ????????? ?? ??? ???????? 16,93,00,000 (???? ?? ?????) ??, ?? ?????? ???? ???????? ?? ????? ?? ????????? ?? ????? ????? ??? ??? ??, ???? ???? ???????? ??????? ?? ?? ?? ??? ?? ???? ???",40,40,0
Police have asked the public to exercise caution.,"?? ???, ????? ?? ????? ?? ???? ???? ?? ??? ???",8,11,3
%1 has left the game,% 1 ?? ??? ???? ????,5,6,1
"Moreover, there has been a robust increase of around 75% in terms of rejoining by the members exited from 43.78 lakh in 2018-19 to 78.15 lakh in 2019-20",???? ????? ??????? ???? ???? ???????? ?? ???? 2018-19 ??? 43.78 ??? ?? ???? 2019-20 ??? 78.15 ??? ???????? ?? ??? ?? ?????? ?? ??? ?? ???? 75% ?? ???? ?????? ???? ?? ?? ??,28,35,7
Later on these poems were got published in the shape of book.,??? ??? ?????? ??????? ?? ?? ?? ?? ????? ?? ???? ??? ????? ?? ???? ???.,12,16,4
Bigg Boss 13 comes with a new set of drama every other day.,??? ??? 13 ??? ??? ??? ?????? ????? ?? ??? ??? ???,13,12,1
"To the sons of Gershom were given, out of the family of the half-tribe of Manasseh, Golan in Bashan with its suburbs, and Ashtaroth with its suburbs.",??? ??? ????? ?? ?????? ?? ??? ?????? ?? ??? ??? ?? ?? ???? ???? ??????? ???? ????? ?? ????? ?? ????????,27,22,5
I still wasn't aware of what was happening.,"?? ??? ?? ??? ??, ??? ???? ????? ??.",8,9,1
"After this, he released many music videos.",???? ??? ???????? ?? ??????? ??????? ??? ????,7,8,1
"Beyond capital accumulation, the growth process is driven by productivity enhancement through innovation.",????? ????? ?? ??? ????? ?? ????????? ?????? (?????) ?? ????? ????????? ??? ???? ???? ??????? ?? ?? ?? ???? ???,13,21,8
Bulk Feeder,???? ??????,,,0
Uttar Pradesh Chief Minister Yogi Adityanath condoled the death of BSP Supremo's father on Twitter.,"????? ?????? ?? ??????????? ???? ????????? ?? ?????? ??, ????? ?? ?????? ???????? ?????????? ????? ?????? ??????? ????? ?? ?? ?????? ???? ?? ?????? ??????? ??????????? ?? ???",15,28,13
Bangladesh finish the day trailing India by 89 runs.,?????????? ???? ???? ?? ??? ?? 59 ?? ???? ???,9,10,1
"Our farmers, too, have been pushed into desperate conditions, which compel them to think about the present and day-to-day survival",????? ??????? ?? ?? ????? ?? ?????? ??? ????? ???? ?? ?? ?????? ??????? ?? ??? ?? ??? ??? ?? ???? ???? ?? ???? ??? ????? ?? ????? ???? ??,20,30,10
Only 401 is operational at this time.,", ????? ????? ??? ????? ?????? ?? ?? ??? ?????? ????",7,11,4
"Following this counsel means that the husband takes the lead in the family, his wife loyally supports him, and the children obey their parents.","?? ???? ?? ????? ?? ???? ?? ?? ???, ?????? ?? ?????? ??????? ?? ?? ????? ???? ???? ???? ??????? ?? ???? ??? ???? ?? ?",24,26,2
"While reviewing the existing and the future projects undertaken by the Port, the Minister assured that Government would ensure that all resources are made available to the sector to ensure maximum growth of business.",????? ?????? ???? ?? ??? ?????? ?? ???? ?????????? ?? ??????? ???? ??? ?????? ????? ?? ??????? ???? ?? ????? ?????? ??????? ?????? ?? ??? ??? ?????? ?????? ???????,34,29,5
An octa-core Qualcomm Snapdragon 855 processor powers the Redmi K20 Pro.,????? ??20 ???? ??? ????????? ???????????? 855 ???????? ???? ??? ???,11,11,0
KOLKATA: The second Test between Bangladesh and India next month will be Indias first day/night Test.,"?????? ??? ?? ?? ????? ??-???? ????? ????, ??????? ???? ???? ??????? ??? ???? ?? ?????????? ?? ??? ???? ??? ?? ??-???? ????? ??? ???? ?? ???? ???",16,28,12
But very few people actually know even,????? ???? ?? ??? ?? ???? ?? ??? ????? ????? ?? .,7,12,5
Nageshwar Rao was appointed Interim Director CBI .,"????????? ??, ???????? ??? ?????? ??? ??????? ????????? ?? ??? ??? ????? ???",8,13,5
"who acknowledge the Day of Judgment,","?? ???? ?? ??? ?? ???? ????? ??,",6,8,2
"""""""Rahul Baba, if you have read the law then come anywhere to debate over it.""","??? ?? ???, ????? ???? ????? ???? ??, ?? ???? ?? ?? ????? ???? ?? ??? ? ????",15,18,3
"""The aim of the summit is to bring out a comprehensive roadmap leveraging the expertise and knowledge of global Indian researchers for addressing emerging challenges for universal development",?? ??????? ?? ???????? ????? ????? ?? ????? ????? ?? ????????? ?? ??????? ???? ?? ??? ??????? ?????? ?????????? ?? ????? ?? ???? ?????????? ?? ??? ?? ?? ????? ???? ????? ???? ??,28,33,5
How to care for your children,?? ???? ?????? ?? ??? ??? ?? ???? ????,6,9,3
"State Governments may take the stock from the location on their own and also have the option of getting transportation facilitated through NAFED, if required.",????? ??????? ????? ?? ??????? ????? ?? ????? ????? ?? ???? ??? ?? ???? ??? ?? ???????? ????? ?? ????? ?? ????? ????? ?? ?????? ???? ?? ?? ?????? ???? ??? ?????,25,32,7
"Rahul Gandhi -led Congress has been relegated to fourth position, with its influence confined to a few pockets.","????? ????? ?? ?????? ???? ???????? ???? ???? ?? ??, ????? ?????? ??? ????????? ?? ?? ????? ???",18,18,0
"""The third prize was bagged by Vansha of Hindu Vidyapeeth.",????? ????? ?? ?? ????? ?????? ??? ?? ???? ?? ????? ?????,10,12,2
"""The phone provides connectivity via Bluetooth, WiFi, A-GPS/GPS and a micro USB 2.0.","???????????: ??? ??? 4?? ????????, ???-???, ??????? ????? 5.0, ??????/?-?????? ?? ???????-?????? ????? ????? ???",13,15,2
"Considering the need for availability of labour force statistics at more frequent intervals, Ministry of Statistics and Programme Implementation had launched the Periodic Labour Force Survey (PLFS) during 2017-18, with the objective of measuring quarterly changes of various statistical indicators of the labour market in urban areas as well as generating the annual estimates of different labour force indicators both in rural and urban areas",?????????? ???? ?????? ?????? ?? ???? ?? ?? ??????? ?? ???????? ?? ???????? ?? ?????? ??? ???? ??? ????????? ??? ????????? ???????????? ???????? ?? ???? 2017-18 ?? ????? ????? ???? ?? ????????? (????????) ?? ??????? ???? ?? ????? ????????? ???? ????????? ??? ???? ????? ?? ???????? ?????????? ???????? ?? ?????? ??????? ?? ????? ?? ???-??? ??????? ??? ???? ????? ?? ????????? ??? ???? ?? ?????? ??????? ???????? ?? ??????? ???????? ?? ????? ???? ??,,,0
Kolkata's Rahul Tripathi Reprimanded For Code Of Conduct Breach,???? ?????? ?? ??????? ?? ??????? ???? ??????? ?? ???????? ????? ???????? ?? ??? ?????,9,15,6
"""They said the election staff and polling material have reached respective polling stations.",???????? ????? ?? ????? ????? ?? ????? ??????? ??????? ????? ???????? ?? ????? ??? ???,13,15,2
Although th...Read More,??????? ???? . ?????,,,0
Nick Jonas and Priyanka Chopra Jonass love story,"????? ???????? ?????? ?? ??? ???? ?? ???? ?? ??????! priyanka chopra and nick jonas love story - Hindi News, India TV",8,22,14
"In the Mad Ad contest, MBBS 2008 and MBBS 2009 batch secured the first and second places.",'??????????' ??????? ??? ????? ??? ????? ? ??-??? ??? ??????? ????? ?? ????,17,13,4
"So far, this work has been completed in 13 villages.",?? ???? ?? 13 ???????? ??? ?? ??? ???? ?? ???? ???,10,12,2
"Also read: Explainer | Why are petrol, diesel prices rising?","?? ?? ????: ????? ?? ???? ??? ??? ?? ??????? ?? ???? ?? ?????? ????, ????? ???? ???? ?? ???",10,20,10
"At least 24 people are being treated for injuries, some of whom are in critical condition, he added.",???????? ????? ?? ?? ?? ?? 24 ????? ?? ???? ???? ?? ??? ?? ?????? ?? ??? ?? ???? ????? ??.,18,21,3
"Before coming to Red Fort, Modi went to Rajghat and paid homage to Father of the nation Mahatma Gandhi.",??? ???? ?? ?????? ?? ???? ???? ???? ?? ?????? ???? ??????? ????? ?? ??????????? ??.,19,16,3
PM Modi also spoke about terrorism.,???? ???? ?? ???? ???? ??? ??????? ?? ?? ????? ?????,6,11,5
"""There is absolutely no justification for apprehending erosion of control of the High Court as has been succinctly pointed out.",???? ?????????? ?? ???????? ?? ??? ?? ????? ? ??? ???? ?? ?????? ???? ?? ?,20,16,4
And third: cooperation in public awareness for water conservation and water harvesting.,"?????, ??????? ?? ???????? ?? ????? ?? ?????, ?? ???????, ?? ????? ?? ??? ??????? ??? ??????",12,17,5
"""The features of the Air Services Agreement are as follows: i. Both countries shall be entitled to designate one or more airline.",?? ???? ???? ?????? ?? ????????? ?? ?????? ???: ????? ??? ?? ?? ?? ?? ???? ?????? ????? ?? ????? ???? ?? ????? ??????,22,24,2
Desai was ecstatic.,????? ?????? ?? ???.,,,0
He is interested in hearing her story.,"""?? ????? ?????? ?? ????? ?? ???",7,7,0
Police had set up barricades nearly 100 metres away from the campus.,????? ?? ????? ?? ???? 100 ???? ?? ???? ?? ????????? ??? ??? ???,12,14,2
